2019-08-09 05:15:52,079 p=1 u=root |  ERROR! the playbook: init.yaml could not be found
2019-08-09 05:25:01,824 p=1 u=root |  TASK [f5devcentral.f5app_services_package : Remove RPM Package from the BIG-IP] *******************************************************
2019-08-09 05:25:01,880 p=1 u=root |  skipping: [10.1.10.11]
2019-08-09 05:25:01,888 p=1 u=root |  PLAY RECAP ****************************************************************************************************************************
2019-08-09 05:25:01,889 p=1 u=root |  10.1.10.11                 : ok=7    changed=2    unreachable=0    failed=0    skipped=7    rescued=0    ignored=0   
2019-08-09 05:25:36,894 p=1 u=root |  PLAY [Download and Install RPMs] ******************************************************************************************************
2019-08-09 05:25:36,922 p=1 u=root |  TASK [Gathering Facts] ****************************************************************************************************************
2019-08-09 05:25:45,686 p=1 u=root |  ok: [10.1.10.11]
2019-08-09 05:25:46,455 p=1 u=root |  ok: [10.1.10.13]
2019-08-09 05:25:49,087 p=1 u=root |  ok: [10.1.10.12]
2019-08-09 05:25:49,317 p=1 u=root |  TASK [Install AS3 RPM] ****************************************************************************************************************
2019-08-09 05:25:51,339 p=1 u=root |  TASK [f5devcentral.f5app_services_package : Check if RPM exists on controller] ********************************************************
2019-08-09 05:25:52,805 p=1 u=root |  changed: [10.1.10.11 -> localhost]
2019-08-09 05:25:52,808 p=1 u=root |  changed: [10.1.10.12 -> localhost]
2019-08-09 05:25:52,881 p=1 u=root |  changed: [10.1.10.13 -> localhost]
2019-08-09 05:25:53,084 p=1 u=root |  TASK [f5devcentral.f5app_services_package : RPM is not installed raise error] *********************************************************
2019-08-09 05:25:53,358 p=1 u=root |  skipping: [10.1.10.11]
2019-08-09 05:25:53,612 p=1 u=root |  skipping: [10.1.10.12]
2019-08-09 05:25:53,686 p=1 u=root |  skipping: [10.1.10.13]
2019-08-09 05:25:53,917 p=1 u=root |  TASK [f5devcentral.f5app_services_package : Set Connection Facts] *********************************************************************
2019-08-09 05:25:54,199 p=1 u=root |  ok: [10.1.10.11]
2019-08-09 05:25:54,402 p=1 u=root |  ok: [10.1.10.12]
2019-08-09 05:25:54,451 p=1 u=root |  ok: [10.1.10.13]
2019-08-09 05:25:54,657 p=1 u=root |  TASK [f5devcentral.f5app_services_package : Wait for BIG-IP to be available] **********************************************************
2019-08-09 05:25:58,912 p=1 u=root |  ok: [10.1.10.11 -> localhost]
2019-08-09 05:25:59,044 p=1 u=root |  ok: [10.1.10.13 -> localhost]
2019-08-09 05:25:59,575 p=1 u=root |  ok: [10.1.10.12 -> localhost]
2019-08-09 05:25:59,809 p=1 u=root |  TASK [f5devcentral.f5app_services_package : Validate mandatory parameter f5app_services_package_path is present] **********************
2019-08-09 05:25:59,987 p=1 u=root |  skipping: [10.1.10.11]
2019-08-09 05:26:00,165 p=1 u=root |  skipping: [10.1.10.12]
2019-08-09 05:26:00,249 p=1 u=root |  skipping: [10.1.10.13]
2019-08-09 05:26:00,460 p=1 u=root |  TASK [f5devcentral.f5app_services_package : Validate mutually exclusive parameters are not present] ***********************************
2019-08-09 05:26:00,763 p=1 u=root |  skipping: [10.1.10.11]
